period,top10
1995-07-13 05:00:00-04:00,34964
1995-07-13 04:00:00-04:00,27106
1995-07-13 06:00:00-04:00,23900
1995-07-13 07:00:00-04:00,22806
1995-07-13 08:00:00-04:00,19962
1995-07-05 10:00:00-04:00,18801
1995-07-13 10:00:00-04:00,17489
1995-07-13 09:00:00-04:00,17112
1995-07-13 11:00:00-04:00,17042
1995-07-05 12:00:00-04:00,16855
